movie_name,movie_url,ranking,score,score_num
肖申克的救赎,https://movie.douban.com/subject/1292052/,1,9.6,983632
霸王别姬,https://movie.douban.com/subject/1291546/,2,9.5,714362
这个杀手不太冷,https://movie.douban.com/subject/1295644/,3,9.4,928105
阿甘正传,https://movie.douban.com/subject/1292720/,4,9.4,789283
美丽人生,https://movie.douban.com/subject/1292063/,5,9.5,461196
千与千寻,https://movie.douban.com/subject/1291561/,6,9.2,738206
泰坦尼克号,https://movie.douban.com/subject/1292722/,7,9.2,728757
辛德勒的名单,https://movie.douban.com/subject/1295124/,8,9.4,420487
盗梦空间,https://movie.douban.com/subject/3541415/,9,9.3,831608
机器人总动员,https://movie.douban.com/subject/2131459/,10,9.3,545233
海上钢琴师,https://movie.douban.com/subject/1292001/,11,9.2,643233
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,12,9.2,744841
忠犬八公的故事,https://movie.douban.com/subject/3011091/,13,9.2,511525
放牛班的春天,https://movie.douban.com/subject/1291549/,14,9.2,498374
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,15,9.2,543387
教父,https://movie.douban.com/subject/1291841/,16,9.2,375010
龙猫,https://movie.douban.com/subject/1291560/,17,9.1,459899
楚门的世界,https://movie.douban.com/subject/1292064/,18,9.1,513140
熔炉,https://movie.douban.com/subject/5912992/,19,9.2,297476
乱世佳人,https://movie.douban.com/subject/1300267/,20,9.2,292576
触不可及,https://movie.douban.com/subject/6786002/,21,9.1,402808
星际穿越,https://movie.douban.com/subject/1889243/,22,9.2,540779
无间道,https://movie.douban.com/subject/1307914/,23,9.0,443737
当幸福来敲门,https://movie.douban.com/subject/1849031/,24,8.9,589761
天堂电影院,https://movie.douban.com/subject/1291828/,25,9.1,331404
怦然心动,https://movie.douban.com/subject/3319755/,26,8.9,612230
十二怒汉,https://movie.douban.com/subject/1293182/,27,9.4,186154
搏击俱乐部,https://movie.douban.com/subject/1292000/,28,9.0,426900
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,29,9.0,625623
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,30,9.1,307326
鬼子来了,https://movie.douban.com/subject/1291858/,31,9.2,252293
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,32,9.0,355398
活着,https://movie.douban.com/subject/1292365/,33,9.1,296636
天空之城,https://movie.douban.com/subject/1291583/,34,9.0,360444
罗马假日,https://movie.douban.com/subject/1293839/,35,8.9,416234
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,36,8.9,437780
飞屋环游记,https://movie.douban.com/subject/2129039/,37,8.9,540554
两杆大烟枪,https://movie.douban.com/subject/1293350/,38,9.1,290927
窃听风暴,https://movie.douban.com/subject/1900841/,39,9.1,242468
疯狂动物城,https://movie.douban.com/subject/25662329/,40,9.2,562041
飞越疯人院,https://movie.douban.com/subject/1292224/,41,9.0,295010
控方证人,https://movie.douban.com/subject/1296141/,42,9.6,105077
闻香识女人,https://movie.douban.com/subject/1298624/,43,8.9,348561
海豚湾,https://movie.douban.com/subject/3442220/,44,9.3,192426
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,45,8.9,381781
V字仇杀队,https://movie.douban.com/subject/1309046/,46,8.8,452054
辩护人,https://movie.douban.com/subject/21937445/,47,9.1,228343
教父2,https://movie.douban.com/subject/1299131/,48,9.1,202069
死亡诗社,https://movie.douban.com/subject/1291548/,49,8.9,300780
美丽心灵,https://movie.douban.com/subject/1306029/,50,8.9,325980
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,51,9.0,289426
指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,52,8.9,323721
情书,https://movie.douban.com/subject/1292220/,53,8.8,401963
饮食男女,https://movie.douban.com/subject/1291818/,54,9.1,216339
美国往事,https://movie.douban.com/subject/1292262/,55,9.1,187193
天使爱美丽,https://movie.douban.com/subject/1292215/,56,8.7,510500
狮子王,https://movie.douban.com/subject/1301753/,57,8.9,301753
钢琴家,https://movie.douban.com/subject/1296736/,58,9.0,215438
七宗罪,https://movie.douban.com/subject/1292223/,59,8.7,460054
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,60,8.9,310834
小鞋子,https://movie.douban.com/subject/1303021/,61,9.2,148852
致命魔术,https://movie.douban.com/subject/1780330/,62,8.8,367019
素媛,https://movie.douban.com/subject/21937452/,63,9.1,198141
勇敢的心,https://movie.douban.com/subject/1294639/,64,8.8,309667
音乐之声,https://movie.douban.com/subject/1294408/,65,8.9,246076
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,66,9.1,490921
剪刀手爱德华,https://movie.douban.com/subject/1292370/,67,8.7,513060
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,68,8.7,416611
低俗小说,https://movie.douban.com/subject/1291832/,69,8.8,355974
西西里的美丽传说,https://movie.douban.com/subject/1292402/,70,8.7,374637
黑客帝国,https://movie.douban.com/subject/1291843/,71,8.8,299264
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,72,8.9,254890
沉默的羔羊,https://movie.douban.com/subject/1293544/,73,8.7,374943
看不见的客人,https://movie.douban.com/subject/26580232/,74,8.8,349869
入殓师,https://movie.douban.com/subject/2149806/,75,8.8,332631
蝴蝶效应,https://movie.douban.com/subject/1292343/,76,8.7,404529
玛丽和马克思,https://movie.douban.com/subject/3072124/,77,8.9,241270
让子弹飞,https://movie.douban.com/subject/3742360/,78,8.7,660108
春光乍泄,https://movie.douban.com/subject/1292679/,79,8.8,262730
大闹天宫,https://movie.douban.com/subject/1418019/,80,9.2,107889
心灵捕手,https://movie.douban.com/subject/1292656/,81,8.8,287722
幽灵公主,https://movie.douban.com/subject/1297359/,82,8.8,248645
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,83,8.8,285939
第六感,https://movie.douban.com/subject/1297630/,84,8.8,247120
末代皇帝,https://movie.douban.com/subject/1293172/,85,8.9,181303
重庆森林,https://movie.douban.com/subject/1291999/,86,8.7,349865
禁闭岛,https://movie.douban.com/subject/2334904/,87,8.6,380178
大鱼,https://movie.douban.com/subject/1291545/,88,8.7,265930
狩猎,https://movie.douban.com/subject/6985810/,89,9.0,137947
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,90,8.7,290102
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,91,8.8,332497
甜蜜蜜,https://movie.douban.com/subject/1305164/,92,8.8,243408
致命ID,https://movie.douban.com/subject/1297192/,93,8.6,336104
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,94,8.7,274647
一一,https://movie.douban.com/subject/1292434/,95,8.9,163661
阳光姐妹淘,https://movie.douban.com/subject/4917726/,96,8.8,283207
告白,https://movie.douban.com/subject/4268598/,97,8.7,359587
断背山,https://movie.douban.com/subject/1418834/,98,8.6,336437
上帝之城,https://movie.douban.com/subject/1292208/,99,8.9,164075
猫鼠游戏,https://movie.douban.com/subject/1305487/,100,8.7,241108
加勒比海盗,https://movie.douban.com/subject/1298070/,101,8.6,363893
摩登时代,https://movie.douban.com/subject/1294371/,102,9.2,94666
阿凡达,https://movie.douban.com/subject/1652587/,103,8.6,552660
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,104,8.7,232124
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,105,8.9,156256
风之谷,https://movie.douban.com/subject/1291585/,106,8.8,184626
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,107,8.7,207885
消失的爱人,https://movie.douban.com/subject/21318488/,108,8.7,374711
侧耳倾听,https://movie.douban.com/subject/1297052/,109,8.8,177182
超脱,https://movie.douban.com/subject/5322596/,110,8.8,180735
倩女幽魂,https://movie.douban.com/subject/1297447/,111,8.6,266598
红辣椒,https://movie.douban.com/subject/1865703/,112,8.9,141833
萤火虫之墓,https://movie.douban.com/subject/1293318/,113,8.7,212291
驯龙高手,https://movie.douban.com/subject/2353023/,114,8.7,298147
恐怖直播,https://movie.douban.com/subject/21360417/,115,8.7,233338
菊次郎的夏天,https://movie.douban.com/subject/1293359/,116,8.7,190432
幸福终点站,https://movie.douban.com/subject/1292274/,117,8.6,233570
岁月神偷,https://movie.douban.com/subject/3792799/,118,8.6,317557
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,119,8.7,226499
七武士,https://movie.douban.com/subject/1295399/,120,9.2,80271
神偷奶爸,https://movie.douban.com/subject/3287562/,121,8.5,395147
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,122,8.9,138039
海洋,https://movie.douban.com/subject/3443389/,123,9.0,101383
喜剧之王,https://movie.douban.com/subject/1302425/,124,8.5,329858
真爱至上,https://movie.douban.com/subject/1292401/,125,8.5,326538
杀人回忆,https://movie.douban.com/subject/1300299/,126,8.6,217746
电锯惊魂,https://movie.douban.com/subject/1417598/,127,8.7,206559
谍影重重3,https://movie.douban.com/subject/1578507/,128,8.7,187441
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,129,8.5,407974
雨人,https://movie.douban.com/subject/1291870/,130,8.6,216650
东邪西毒,https://movie.douban.com/subject/1292328/,131,8.6,260291
记忆碎片,https://movie.douban.com/subject/1304447/,132,8.5,289777
喜宴,https://movie.douban.com/subject/1303037/,133,8.8,145558
怪兽电力公司,https://movie.douban.com/subject/1291579/,134,8.6,251223
疯狂原始人,https://movie.douban.com/subject/1907966/,135,8.7,383757
燃情岁月,https://movie.douban.com/subject/1295865/,136,8.7,152485
黑天鹅,https://movie.douban.com/subject/1978709/,137,8.5,431646
虎口脱险,https://movie.douban.com/subject/1296909/,138,8.9,110471
英雄本色,https://movie.douban.com/subject/1297574/,139,8.7,172786
卢旺达饭店,https://movie.douban.com/subject/1291822/,140,8.8,124252
恋恋笔记本,https://movie.douban.com/subject/1309163/,141,8.5,293280
傲慢与偏见,https://movie.douban.com/subject/1418200/,142,8.4,313321
猜火车,https://movie.douban.com/subject/1292528/,143,8.5,255345
魂断蓝桥,https://movie.douban.com/subject/1293964/,144,8.8,133184
7号房的礼物,https://movie.douban.com/subject/10777687/,145,8.7,183179
穿越时空的少女,https://movie.douban.com/subject/1937946/,146,8.6,191083
教父3,https://movie.douban.com/subject/1294240/,147,8.8,135244
萤火之森,https://movie.douban.com/subject/5989818/,148,8.7,164399
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,149,8.6,283448
海边的曼彻斯特,https://movie.douban.com/subject/25980443/,150,8.6,197327
完美的世界,https://movie.douban.com/subject/1300992/,151,9.0,83566
纵横四海,https://movie.douban.com/subject/1295409/,152,8.7,151707
雨中曲,https://movie.douban.com/subject/1293460/,153,8.9,95727
玩具总动员3,https://movie.douban.com/subject/1858711/,154,8.8,197938
小森林 冬春篇,https://movie.douban.com/subject/25814707/,155,8.9,120073
荒蛮故事,https://movie.douban.com/subject/24750126/,156,8.8,145206
花样年华,https://movie.douban.com/subject/1291557/,157,8.5,255166
二十二,https://movie.douban.com/subject/26430107/,158,8.8,93898
我是山姆,https://movie.douban.com/subject/1306861/,159,8.8,107400
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,160,8.4,340271
超能陆战队,https://movie.douban.com/subject/11026735/,161,8.6,382376
时空恋旅人,https://movie.douban.com/subject/10577869/,162,8.6,207772
人工智能,https://movie.douban.com/subject/1302827/,163,8.6,194805
浪潮,https://movie.douban.com/subject/2297265/,164,8.7,136083
冰川时代,https://movie.douban.com/subject/1291578/,165,8.4,279614
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,166,8.6,303045
香水,https://movie.douban.com/subject/1760622/,167,8.4,283360
朗读者,https://movie.douban.com/subject/2213597/,168,8.5,284176
心迷宫,https://movie.douban.com/subject/25917973/,169,8.6,167998
罗生门,https://movie.douban.com/subject/1291879/,170,8.7,128655
追随,https://movie.douban.com/subject/1397546/,171,8.9,84015
一次别离,https://movie.douban.com/subject/5964718/,172,8.7,135887
撞车,https://movie.douban.com/subject/1388216/,173,8.6,178001
爆裂鼓手,https://movie.douban.com/subject/25773932/,174,8.6,244583
未麻的部屋,https://movie.douban.com/subject/1395091/,175,8.8,100965
可可西里,https://movie.douban.com/subject/1308857/,176,8.7,132460
战争之王,https://movie.douban.com/subject/1419936/,177,8.5,178792
地球上的星星,https://movie.douban.com/subject/2363506/,178,8.8,87394
梦之安魂曲,https://movie.douban.com/subject/1292270/,179,8.7,114285
恐怖游轮,https://movie.douban.com/subject/3011051/,180,8.3,333786
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,181,8.6,172587
阿飞正传,https://movie.douban.com/subject/1305690/,182,8.5,186945
被解救的姜戈,https://movie.douban.com/subject/6307447/,183,8.5,265262
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,184,8.7,109504
谍影重重2,https://movie.douban.com/subject/1308767/,185,8.5,163064
谍影重重,https://movie.douban.com/subject/1304102/,186,8.5,196302
碧海蓝天,https://movie.douban.com/subject/1300960/,187,8.7,109332
魔女宅急便,https://movie.douban.com/subject/1307811/,188,8.5,199530
惊魂记,https://movie.douban.com/subject/1293181/,189,8.9,84970
忠犬八公物语,https://movie.douban.com/subject/1959195/,190,9.0,61247
秒速5厘米,https://movie.douban.com/subject/2043546/,191,8.3,304971
再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,192,8.5,173903
青蛇,https://movie.douban.com/subject/1303394/,193,8.4,226206
